Modelo,Fragmento,SPI_normalizado
n4_L1000,Known1,-0.9538723839092799
n4_L1000,Known2,0.8843594166608337
n4_L1000,Known3,1.2782662310687152
n4_L1000,Known4,-0.2973610265628107
n4_L1000,Known5,0.7530571451915399
n4_L1000,Known6,0.5561037379875992
n4_L1000,Known7,0.8843594166608337
n4_L1000,Known8,0.621754873722246
n4_L1000,Known9,0.49045260225295223
n4_L1000,Known10,0.5561037379875992
n4_L1000,Known11,-0.7569189767053391
n4_L1000,Known12,-0.9538723839092799
n4_L1000,Known13,-0.16605875509351692
n4_L1000,Known14,-0.36301216229745764
n4_L1000,Known15,-1.4790814697864552
n4_L1000,Known16,1.1469639595994214
n4_L1000,Known17,-2.2012439628675713
